ID,Product_Name,Brand,Category,Price_USD,Rating,Number_of_Reviews,Brand_encoded,Category_encoded,Price_USD_scaled,Rating_scaled
51,Magic Lip Gloss,Kylie Cosmetics,Blush,104.96,5.0,5290,21,1,0.6144773843744239,1.710351434933986
52,Magic Lip Liner,Yves Saint Laurent,Highlighter,140.17,5.0,3923,39,13,1.4859767328700784,1.710351434933986
53,Divine Eyeliner,Huda Beauty,Cleanser,104.76,5.0,6620,15,4,0.6095270898643665,1.710351434933986
54,Magic Face Oil,Anastasia Beverly Hills,Serum,110.9,5.0,2710,0,22,0.7615011313231373,1.710351434933986
55,Magic Cleanser,Hourglass,Highlighter,88.0,5.0,5545,14,13,0.19469240992153283,1.710351434933986
56,Perfect Cleanser,Rare Beauty,Cleanser,59.11,5.0,2609,32,4,-0.520377632056299,1.710351434933986
57,Ultra Lip Liner,RMS Beauty,Blush,56.77,5.0,8071,31,1,-0.5782960778239739,1.710351434933986
58,Super Cleanser,Juvia’s Place,Cleanser,47.97,5.0,4668,18,4,-0.7961090362665119,1.710351434933986
59,Divine Setting Spray,RMS Beauty,Setting Spray,65.96,5.0,9330,31,23,-0.3508300450868237,1.710351434933986
60,Ultra Foundation,Kiehl’s,Primer,50.56,5.0,5269,20,21,-0.7320027223612648,1.710351434933986
61,Divine Contour,Milk Makeup,Blush,139.11,5.0,3089,24,1,1.4597401719667733,1.710351434933986
62,Perfect Concealer,Farsali,Contour,37.44,5.0,6284,11,6,-1.0567420422210487,1.710351434933986
63,Divine Face Mask,Hourglass,Face Oil,46.08,5.0,2020,14,11,-0.842889319386557,1.710351434933986
64,Divine Lip Gloss,Drunk Elephant,Lip Gloss,16.77,5.0,2555,9,14,-1.56835497983551,1.710351434933986
65,Super Serum,Sisley,Lip Gloss,138.55,5.0,3349,34,14,1.4458793473386118,1.710351434933986
66,Super Contour,Make Up For Ever,Powder,52.2,5.0,6852,23,20,-0.6914103073787918,1.710351434933986
67,Divine Powder,Kiehl’s,Bronzer,21.46,5.0,3242,20,2,-1.4522705735746573,1.710351434933986
68,Super Serum,IT Cosmetics,Setting Spray,136.11,5.0,2874,16,23,1.385485754315908,1.710351434933986
69,Divine Face Mask,Farsali,Blush,93.54,5.0,5882,11,1,0.3318155678501307,1.710351434933986
70,Perfect Makeup Remover,Ilia Beauty,Highlighter,103.95,5.0,3798,17,13,0.5894783970986329,1.710351434933986
71,Divine Mascara,Hourglass,Eyeliner,73.31,5.0,8833,14,9,-0.1689067218422037,1.710351434933986
72,Divine Makeup Remover,Drunk Elephant,Face Mask,91.94,5.0,2493,9,10,0.2922132117696691,1.710351434933986
73,Perfect Serum,Drunk Elephant,Face Oil,103.89,5.0,9324,9,11,0.5879933087456155,1.710351434933986
74,Super Makeup Remover,RMS Beauty,Bronzer,68.34,5.0,2200,31,2,-0.291921540417137,1.710351434933986
75,Divine Powder,Bobby Brown,BB Cream,12.36,5.0,5561,3,0,-1.6775089737822817,1.710351434933986
76,Magic Contour,Make Up For Ever,Eyeliner,128.01,5.0,3366,23,9,1.1849988266585716,1.710351434933986
77,Divine CC Cream,Laura Mercier,Moisturizer,119.93,5.0,7704,22,19,0.9850069284522416,1.710351434933986
78,Super Blush,Sisley,Cleanser,17.98,5.0,7767,34,4,-1.5384056980496608,1.710351434933986
79,Ultra Highlighter,Tarte,Eyeliner,14.36,5.0,7957,35,9,-1.628006028681705,1.710351434933986
80,Ultra Bronzer,Yves Saint Laurent,Face Oil,99.64,5.0,8117,39,11,0.4827995504068898,1.710351434933986
81,Divine Blush,Kylie Cosmetics,Moisturizer,106.31,5.0,9858,21,19,0.6478918723173135,1.710351434933986
82,Perfect Blush,Farsali,Foundation,85.27,5.0,2181,11,12,0.1271208898592454,1.710351434933986
83,Magic Setting Spray,Yves Saint Laurent,CC Cream,33.22,5.0,3799,39,3,-1.1611932563832659,1.710351434933986
84,Divine Eyeliner,Perricone MD,Contour,22.68,5.0,9479,30,6,-1.4220737770633054,1.710351434933986
85,Divine Cleanser,Make Up For Ever,Cleanser,78.83,5.0,7681,23,4,-0.03227859336461184,1.710351434933986
86,Perfect Exfoliator,Ilia Beauty,Mascara,121.76,5.0,4782,17,18,1.0303021232192693,1.710351434933986
87,Magic Serum,KVD Beauty,Face Oil,106.48,5.0,8626,19,11,0.6520996226508625,1.710351434933986
88,Divine Foundation,Morphe,CC Cream,89.19,5.0,2666,25,3,0.22414666225637597,1.710351434933986
89,Magic Lip Gloss,Shiseido,Eye Shadow,62.94,5.0,9181,33,8,-0.42557949218869456,1.710351434933986
90,Perfect Highlighter,Glossier,Mascara,36.13,5.0,2765,13,18,-1.0891664712619264,1.710351434933986
91,Super Contour,Laura Mercier,Concealer,14.31,5.0,6291,22,5,-1.6292436023092194,1.710351434933986
92,Perfect Powder,Natasha Denona,Face Oil,136.15,5.0,2716,27,11,1.3864758132179194,1.710351434933986
93,Divine Face Oil,Kylie Cosmetics,Face Oil,90.53,5.0,5591,21,11,0.2573136354737625,1.710351434933986
94,Perfect Exfoliator,Morphe,Face Mask,141.4,5.0,6601,25,10,1.5164210441069335,1.710351434933986
95,Perfect Highlighter,Perricone MD,Eye Shadow,133.82,5.0,4398,30,8,1.3288048821757472,1.710351434933986
96,Magic Lip Gloss,Danessa Myricks,Blush,54.63,5.0,5727,8,1,-0.6312642290815911,1.710351434933986
97,Super Face Mask,Huda Beauty,Face Oil,75.01,5.0,2142,15,11,-0.12682921850671336,1.710351434933986
98,Divine Bronzer,Rare Beauty,Foundation,137.37,5.0,5509,32,12,1.4166726097292712,1.710351434933986
99,Super Lip Liner,Becca,Contour,88.0,5.0,7193,1,6,0.19469240992153283,1.710351434933986
100,Magic Powder,Shiseido,Highlighter,68.09,5.0,1822,33,13,-0.29810940855470913,1.710351434933986
101,Ultra Makeup Remover,Huda Beauty,Concealer,82.52,5.0,4245,15,5,0.0590543403459523,1.710351434933986
102,Divine Serum,Fenty Beauty,BB Cream,17.79,5.0,8271,12,0,-1.5431084778342157,1.710351434933986
103,Perfect Blush,Tatcha,Lip Liner,12.11,5.0,537,36,15,-1.683696841919854,1.710351434933986
104,Perfect Powder,Yves Saint Laurent,CC Cream,31.08,5.0,4524,39,3,-1.2141614076408829,1.710351434933986
105,Magic Lipstick,Pat McGrath Labs,CC Cream,70.76,5.0,9477,28,3,-0.23202297684543907,1.710351434933986
106,Super Highlighter,Yves Saint Laurent,Makeup Remover,141.56,5.0,8957,39,17,1.5203812797149796,1.710351434933986
107,Ultra CC Cream,Bite Beauty,Concealer,139.0,5.0,8317,2,5,1.4570175099862412,1.710351434933986
108,Perfect Face Oil,Tarte,Eye Shadow,63.56,5.0,8193,35,8,-0.41023357920751563,1.710351434933986
109,Magic Contour,Danessa Myricks,Setting Spray,129.43,5.0,1534,8,23,1.2201459176799814,1.710351434933986
110,Ultra Face Mask,Bourjois,CC Cream,39.24,5.0,1191,4,3,-1.0121893916305296,1.710351434933986
111,Magic Exfoliator,Danessa Myricks,Bronzer,39.92,5.0,6657,8,2,-0.9953583902963334,1.710351434933986
112,Super CC Cream,Bobby Brown,Setting Spray,94.5,5.0,3566,3,23,0.35557698149840744,1.710351434933986
113,Ultra Lipstick,Yves Saint Laurent,Powder,133.36,5.0,3086,39,20,1.317419204802615,1.710351434933986
114,Magic Lip Gloss,ColourPop,Cleanser,145.1,5.0,6064,7,4,1.6080014925430004,1.710351434933986
115,Perfect Serum,Ilia Beauty,Serum,11.08,5.0,7100,17,22,-1.7091908586466509,1.710351434933986
116,Super CC Cream,Tarte,Highlighter,122.61,5.0,1907,35,13,1.0513408748870143,1.710351434933986
117,Super Lipstick,NARS,Eyeliner,57.04,5.0,648,26,9,-0.5716131802353961,1.710351434933986
118,Super Eye Shadow,Huda Beauty,BB Cream,142.16,5.0,9702,15,0,1.5352321632451524,1.710351434933986
119,Magic Blush,Charlotte Tilbury,Foundation,34.77,5.0,7175,5,12,-1.1228284739303187,1.710351434933986
120,Super Moisturizer,Rare Beauty,Primer,100.48,5.0,2083,32,21,0.5035907873491322,1.710351434933986
121,Ultra Serum,Becca,Face Oil,21.3,5.0,8785,1,11,-1.4562308091827036,1.710351434933986
122,Divine Makeup Remover,Too Faced,BB Cream,138.4,5.0,5229,37,0,1.4421666264560684,1.710351434933986
123,Magic Face Oil,Tarte,Face Mask,119.65,5.0,4858,35,10,0.9780765161381608,1.710351434933986
124,Super Moisturizer,ColourPop,Cleanser,31.68,5.0,4178,7,4,-1.1993105241107098,1.710351434933986
125,Perfect Serum,Becca,BB Cream,33.46,5.0,8544,1,0,-1.1552529029711964,1.710351434933986
126,Super Face Mask,Glossier,Moisturizer,51.96,5.0,2465,13,19,-0.697350660790861,1.710351434933986
127,Magic Blush,Bourjois,Contour,141.69,5.0,2685,4,6,1.523598971146517,1.710351434933986
128,Magic Eye Shadow,Bobby Brown,Cleanser,42.91,5.0,8693,3,4,-0.9213514873709713,1.710351434933986
129,Magic Foundation,Perricone MD,BB Cream,11.64,5.0,1125,30,0,-1.6953300340184894,1.710351434933986
130,Ultra Concealer,Pat McGrath Labs,Face Mask,145.04,5.0,6105,28,10,1.606516404189983,1.710351434933986
131,Ultra BB Cream,Hourglass,Face Mask,122.95,5.0,560,14,10,1.0597563755541124,1.710351434933986
132,Divine Cleanser,Too Faced,Contour,88.81,5.0,116,37,6,0.21474110268726648,1.710351434933986
133,Ultra BB Cream,Urban Decay,Face Oil,62.57,5.0,5882,38,11,-0.43473753703230117,1.710351434933986
134,Perfect Lip Liner,Huda Beauty,Mascara,77.3,5.0,6813,15,18,-0.07014834636655312,1.710351434933986
135,Magic Face Mask,Becca,Serum,19.34,5.0,7824,1,22,-1.5047436953812687,1.710351434933986
136,Divine Contour,Urban Decay,Foundation,100.08,5.0,5773,38,12,0.49369019832901667,1.710351434933986
137,Super CC Cream,Milk Makeup,Foundation,123.16,5.0,3007,24,12,1.0649541847896729,1.710351434933986
138,Super Lip Gloss,Kylie Cosmetics,Highlighter,147.89,5.0,941,21,13,1.6770581009583048,1.710351434933986
139,Magic Lipstick,Anastasia Beverly Hills,Eye Shadow,93.68,5.0,396,0,8,0.3352807740071711,1.710351434933986
140,Perfect Eyeliner,Fenty Beauty,Highlighter,33.48,5.0,5884,12,13,-1.1547578735201909,1.710351434933986
141,Super Exfoliator,KVD Beauty,Blush,62.58,5.0,1281,19,1,-0.43449002230679834,1.710351434933986
142,Divine Eye Shadow,KVD Beauty,Lip Liner,112.31,5.0,570,19,15,0.7964007076190439,1.710351434933986
143,Perfect Highlighter,Drunk Elephant,Face Mask,17.6,5.0,4836,9,10,-1.5478112576187706,1.710351434933986
144,Ultra Bronzer,Rare Beauty,Highlighter,39.5,5.0,428,32,13,-1.0057540087674546,1.710351434933986
145,Perfect BB Cream,Perricone MD,Powder,43.41,5.0,5679,30,20,-0.9089757510958271,1.710351434933986
146,Perfect Eyeliner,Anastasia Beverly Hills,Setting Spray,107.58,5.0,7447,0,23,0.6793262424561797,1.710351434933986
147,Perfect BB Cream,Natasha Denona,Exfoliator,66.21,5.0,997,27,7,-0.3446421769492516,1.710351434933986
148,Super Makeup Remover,Shiseido,Blush,103.08,5.0,1988,33,1,0.5679446159798819,1.710351434933986
149,Super Makeup Remover,Laura Mercier,Moisturizer,27.19,5.0,5803,22,19,-1.310444635861505,1.710351434933986
150,Magic Lipstick,Becca,Moisturizer,95.4,5.0,9553,1,19,0.37785330679366713,1.710351434933986
151,Magic Lip Gloss,KVD Beauty,Bronzer,11.77,5.0,7306,19,2,-1.692112342586952,1.710351434933986
152,Magic Exfoliator,NARS,Setting Spray,114.46,5.0,7336,26,23,0.8496163736021638,1.710351434933986
153,Magic Setting Spray,Drunk Elephant,Concealer,23.35,5.0,6907,9,5,-1.4054902904546123,1.710351434933986
154,Ultra Lip Liner,Juvia’s Place,Highlighter,59.61,5.0,7504,18,13,-0.5080018957811548,1.710351434933986
155,Magic Blush,Make Up For Ever,Serum,120.78,5.0,9695,23,22,1.0060456801199866,1.710351434933986
156,Divine Cleanser,Becca,Foundation,88.43,5.0,295,1,12,0.20533554311815702,1.710351434933986
157,Magic Contour,Make Up For Ever,Bronzer,126.1,5.0,463,23,2,1.1377235140875208,1.710351434933986
158,Divine Lipstick,Farsali,Exfoliator,58.08,5.0,5779,11,7,-0.5458716487830961,1.710351434933986
159,Perfect Foundation,Urban Decay,Foundation,131.31,5.0,8129,38,12,1.2666786860745236,1.710351434933986
160,Perfect Face Oil,KVD Beauty,Highlighter,68.62,5.0,5116,19,13,-0.28499112810305627,1.710351434933986
161,Perfect Makeup Remover,Clinique,Moisturizer,113.77,5.0,1095,6,19,0.8325378575424648,1.710351434933986
162,Divine Exfoliator,Morphe,Makeup Remover,49.95,5.0,996,25,17,-0.7471011206169408,1.710351434933986
163,Magic Exfoliator,Bobby Brown,Setting Spray,125.88,5.0,1371,3,23,1.1322781901264574,1.710351434933986
164,Super Contour,ColourPop,Primer,93.22,5.0,1794,7,21,0.32389509663403826,1.710351434933986
165,Magic Contour,Laura Mercier,Blush,20.62,5.0,9651,22,1,-1.4730618105168996,1.710351434933986
166,Ultra CC Cream,Urban Decay,Cleanser,137.56,5.0,9599,38,4,1.421375389513826,1.710351434933986
167,Magic Primer,Ilia Beauty,Blush,40.21,5.0,878,17,1,-0.9881804632567498,1.710351434933986
168,Super Foundation,Urban Decay,Primer,60.86,5.0,4859,38,21,-0.47706255509329437,1.710351434933986
169,Divine Makeup Remover,Anastasia Beverly Hills,Face Mask,29.43,5.0,5132,0,10,-1.2550013373488589,1.710351434933986
170,Ultra Setting Spray,Huda Beauty,Setting Spray,105.94,5.0,1727,15,23,0.6387338274737067,1.710351434933986
171,Ultra Mascara,Hourglass,Foundation,63.31,5.0,2685,14,12,-0.41642144734508774,1.710351434933986
172,Perfect Primer,Milk Makeup,Blush,88.47,5.0,6199,24,1,0.20632560202016836,1.710351434933986
173,Super Blush,IT Cosmetics,Face Oil,87.82,5.0,7822,16,11,0.19023714486248075,1.710351434933986
174,Ultra Foundation,Glossier,Highlighter,17.06,5.0,6279,13,13,-1.5611770527959263,1.710351434933986
175,Perfect Lip Gloss,Laura Mercier,Cleanser,59.46,5.0,705,22,4,-0.5117146166636981,1.710351434933986
176,Ultra Eyeliner,Bite Beauty,Contour,67.04,5.0,5100,2,6,-0.32409845473251186,1.710351434933986
177,Magic Lipstick,Farsali,Setting Spray,119.77,5.0,5335,11,23,0.9810466928441952,1.710351434933986
178,Magic Highlighter,Morphe,Contour,147.1,5.0,6561,25,6,1.6575044376435772,1.710351434933986
179,Perfect Setting Spray,Tarte,Serum,110.2,5.0,5651,35,22,0.7441751005379353,1.710351434933986
180,Perfect Lip Liner,Clinique,Highlighter,70.38,5.0,3176,6,13,-0.2414285364145489,1.710351434933986
181,Divine Highlighter,Sisley,Serum,33.6,5.0,5707,34,22,-1.151787696814156,1.710351434933986
182,Magic Concealer,Natasha Denona,Exfoliator,118.61,5.0,5432,27,7,0.9523349846858608,1.710351434933986
183,Ultra Eye Shadow,Sisley,Moisturizer,77.73,5.0,9991,34,19,-0.05950521316992894,1.710351434933986
184,Ultra Makeup Remover,RMS Beauty,Powder,20.29,5.0,9026,31,20,-1.4812297964584948,1.710351434933986
185,Divine BB Cream,Pat McGrath Labs,Makeup Remover,129.2,5.0,2940,28,17,1.2144530789934147,1.710351434933986
186,Divine Setting Spray,Pat McGrath Labs,Highlighter,105.54,4.9,1098,28,13,0.6288332384535915,1.6247342618759628
187,Magic CC Cream,Urban Decay,Contour,111.62,4.9,2705,38,6,0.779322191559345,1.6247342618759628
188,Magic Contour,Kylie Cosmetics,Powder,107.38,4.9,5290,21,20,0.6743759479461219,1.6247342618759628
189,Super Lipstick,Shiseido,Concealer,42.77,4.9,6165,33,5,-0.9248166935280114,1.6247342618759628
190,Magic Highlighter,IT Cosmetics,Lip Liner,141.34,4.9,9617,16,15,1.5149359557539162,1.6247342618759628
191,Perfect Cleanser,Juvia’s Place,Moisturizer,86.18,4.9,3436,18,19,0.14964472988000813,1.6247342618759628
192,Perfect Setting Spray,Sisley,Face Mask,62.17,4.9,4328,34,10,-0.4446381260524165,1.6247342618759628
193,Magic Face Oil,Laura Mercier,Face Oil,108.45,4.9,7641,22,11,0.7008600235749307,1.6247342618759628
194,Super Highlighter,Pat McGrath Labs,Exfoliator,54.65,4.9,7666,28,7,-0.6307691996305853,1.6247342618759628
195,Magic Bronzer,Bobby Brown,Moisturizer,40.31,4.9,7779,3,19,-0.985705316001721,1.6247342618759628
196,Divine Exfoliator,Huda Beauty,Lipstick,26.21,4.9,4167,15,16,-1.3347010789607874,1.6247342618759628
197,Ultra CC Cream,Milk Makeup,Lipstick,13.93,4.9,3958,24,16,-1.6386491618783292,1.6247342618759628
198,Super Face Mask,Yves Saint Laurent,Lipstick,51.36,4.9,8797,39,16,-0.7122015443210342,1.6247342618759628
199,Super Highlighter,E.l.f.,Lipstick,75.47,4.9,8095,10,16,-0.11544354113358085,1.6247342618759628
200,Super Exfoliator,Bobby Brown,Primer,11.82,4.9,499,3,21,-1.6908747689594372,1.6247342618759628
201,Divine CC Cream,Laura Mercier,Face Oil,63.73,4.9,2341,22,11,-0.4060258288739667,1.6247342618759628
202,Divine Serum,Glossier,Exfoliator,109.66,4.9,544,13,7,0.7308093053607795,1.6247342618759628
203,Divine Eye Shadow,Bobby Brown,Serum,82.74,4.9,5728,3,22,0.06449966430701572,1.6247342618759628
204,Divine Lip Gloss,Huda Beauty,Lipstick,45.81,4.9,539,15,16,-0.8495722169751347,1.6247342618759628
205,Super Exfoliator,Milk Makeup,Powder,29.58,4.9,5080,24,20,-1.2512886164663155,1.6247342618759628
206,Magic Mascara,Becca,Lipstick,139.3,4.9,784,1,16,1.464442951751328,1.6247342618759628
207,Divine Makeup Remover,Juvia’s Place,Lipstick,116.05,4.9,5804,18,16,0.8889712149571224,1.6247342618759628
208,Perfect Eyeliner,Fenty Beauty,Lipstick,87.29,4.9,5440,12,16,0.17711886441082822,1.6247342618759628
209,Divine Serum,KVD Beauty,Lipstick,86.07,4.9,675,19,16,0.14692206789947604,1.6247342618759628
210,Ultra Lip Gloss,E.l.f.,Lipstick,54.93,4.9,6962,10,16,-0.6238387873165046,1.6247342618759628
211,Super Concealer,Huda Beauty,Exfoliator,118.99,4.9,2445,15,7,0.9617405442549702,1.6247342618759628
212,Ultra CC Cream,Bobby Brown,Foundation,110.77,4.9,8467,3,12,0.7582834398915996,1.6247342618759628
213,Perfect Concealer,Milk Makeup,CC Cream,108.03,4.9,3171,24,3,0.6904644051038096,1.6247342618759628
214,Magic Contour,Hourglass,Cleanser,119.08,4.9,7493,14,4,0.9639681767844963,1.6247342618759628
215,Ultra Makeup Remover,Yves Saint Laurent,Lipstick,75.48,4.9,1245,39,16,-0.11519602640807784,1.6247342618759628
216,Super Bronzer,KVD Beauty,Lipstick,134.04,4.9,8529,19,16,1.3342502061368107,1.6247342618759628
217,Super Foundation,Danessa Myricks,Eye Shadow,147.14,4.9,7463,8,8,1.6584944965455886,1.6247342618759628
218,Super Highlighter,IT Cosmetics,Lipstick,20.71,4.9,1799,16,16,-1.4708341779873737,1.6247342618759628
219,Magic Setting Spray,Becca,Lipstick,50.12,4.9,1180,1,16,-0.7428933702833919,1.6247342618759628
220,Magic BB Cream,Patrick Ta,Face Mask,136.22,4.9,3515,29,10,1.3882084162964394,1.6247342618759628
221,Ultra Foundation,Kylie Cosmetics,BB Cream,108.31,4.9,335,21,0,0.6973948174178903,1.6247342618759628
222,Ultra Cleanser,RMS Beauty,Foundation,25.29,4.9,8227,31,12,-1.3574724337070527,1.6247342618759628
223,Ultra Powder,Charlotte Tilbury,Lip Liner,113.59,4.9,6715,5,15,0.8280825924834131,1.6247342618759628
224,Perfect Contour,Kylie Cosmetics,Face Oil,63.82,4.9,771,21,11,-0.4037981963444407,1.6247342618759628
225,Ultra Eye Shadow,Too Faced,Powder,47.48,4.9,2005,37,20,-0.8082372578161532,1.6247342618759628
226,Ultra Lip Liner,RMS Beauty,Blush,127.12,4.9,7026,31,1,1.1629700160888152,1.6247342618759628
227,Magic Face Mask,Fenty Beauty,Lip Gloss,112.82,4.9,9617,12,14,0.8090239586196908,1.6247342618759628
228,Divine Face Mask,Anastasia Beverly Hills,Foundation,110.18,4.9,1015,0,12,0.7436800710869297,1.6247342618759628
229,Super Eye Shadow,Bite Beauty,Setting Spray,61.95,4.9,9465,2,23,-0.45008345001347994,1.6247342618759628
230,Super BB Cream,Make Up For Ever,Mascara,103.52,4.9,1535,23,18,0.5788352639020087,1.6247342618759628
231,Magic Powder,Bourjois,Contour,77.24,4.9,6155,4,6,-0.07163343471957048,1.6247342618759628
232,Super Concealer,Laura Mercier,Lip Liner,82.48,4.9,4596,22,15,0.05806428144394096,1.6247342618759628
233,Ultra Concealer,Bite Beauty,Face Oil,51.12,4.9,7898,2,11,-0.7181418977331034,1.6247342618759628
234,Perfect Eyeliner,Juvia’s Place,Setting Spray,140.41,4.9,8345,18,23,1.4919170862821478,1.6247342618759628
235,Magic Face Oil,Patrick Ta,Concealer,81.83,4.9,2638,29,5,0.041975824286253356,1.6247342618759628
236,Perfect Face Mask,KVD Beauty,Moisturizer,83.9,4.9,9492,19,19,0.09321137246535054,1.6247342618759628
237,Divine Face Oil,Urban Decay,Makeup Remover,84.5,4.9,5715,38,17,0.10806225599552344,1.6247342618759628
238,Divine Foundation,Sisley,Makeup Remover,102.1,4.9,3773,34,17,0.5436881728805991,1.6247342618759628
239,Ultra Blush,Kylie Cosmetics,Face Mask,107.31,4.9,1324,21,10,0.6726433448676019,1.6247342618759628
240,Ultra Lip Gloss,Bourjois,Contour,137.65,4.9,5849,4,6,1.423603022043352,1.6247342618759628
241,Perfect Setting Spray,RMS Beauty,Cleanser,30.66,4.9,1271,31,4,-1.2245570261120042,1.6247342618759628
242,Magic CC Cream,Make Up For Ever,Bronzer,114.42,4.9,5123,23,2,0.8486263147001524,1.6247342618759628
