Product_Name,Brand,Category,Usage_Frequency,Price_USD,Rating,Number_of_Reviews,Product_Size,Skin_Type,Gender_Target,Packaging_Type,Main_Ingredient,Cruelty_Free,Country_of_Origin,ID
Divine Primer,Juvia’s Place,Primer,Monthly,29.58,2.9,5784,100ml,Sensitive,Female,Tube,Salicylic Acid,FALSE,UK,43
Divine Lip Gloss,Fenty Beauty,Lip Gloss,Daily,77.22,4.9,6032,50ml,Combination,Male,Stick,Shea Butter,TRUE,Australia,44
Ultra Foundation,Too Faced,Foundation,Weekly,134.66,3.5,9550,250ml,Oily,Female,Bottle,Shea Butter,FALSE,Japan,45
Magic Serum,RMS Beauty,Serum,Daily,34.59,3.9,7781,250ml,Sensitive,Female,Tube,Salicylic Acid,FALSE,Germany,46
Perfect Powder,KVD Beauty,Powder,Occasional,61.74,2.0,9812,50ml,Dry,Female,Compact,Vitamin C,FALSE,Italy,47
Super Contour,Becca,Contour,Daily,50.21,3.0,3194,150ml,Sensitive,Female,Tube,Hyaluronic Acid,TRUE,Italy,48
Divine Foundation,E.l.f.,Foundation,Monthly,62.7,3.9,1996,30ml,Oily,Male,Jar,Aloe Vera,FALSE,Australia,49
Divine Eye Shadow,Drunk Elephant,Eye Shadow,Occasional,82.74,4.9,5755,50ml,Combination,Male,Stick,Salicylic Acid,TRUE,Japan,50
Magic Lip Gloss,IT Cosmetics,Lip Gloss,Daily,51.84,1.6,7642,100ml,Combination,Female,Spray,Aloe Vera,FALSE,Australia,51
Perfect Primer,Shiseido,Primer,Occasional,55.64,2.1,5187,200ml,Sensitive,Female,Bottle,Vitamin C,TRUE,Italy,52
Super Bronzer,Sisley,Bronzer,Weekly,34.38,4.5,9062,30ml,Sensitive,Male,Compact,Hyaluronic Acid,FALSE,USA,53
Ultra Face Mask,Ilia Beauty,Face Mask,Monthly,105.93,4.9,376,30ml,Normal,Unisex,Jar,Salicylic Acid,FALSE,Italy,54
Magic Lipstick,Rare Beauty,Lipstick,Monthly,54.73,2.5,303,30ml,Combination,Male,Compact,Salicylic Acid,FALSE,Japan,55
Magic Moisturizer,Rare Beauty,Moisturizer,Occasional,43.46,4.3,3062,200ml,Sensitive,Unisex,Jar,Hyaluronic Acid,FALSE,France,56
Magic Exfoliator,Ilia Beauty,Exfoliator,Weekly,111.61,3.4,4912,150ml,Dry,Male,Jar,Aloe Vera,TRUE,France,57
Magic CC Cream,Becca,CC Cream,Weekly,112.11,3.1,4242,100ml,Combination,Female,Compact,Vitamin C,TRUE,USA,58
Super Moisturizer,Tarte,Moisturizer,Weekly,119.13,4.0,138,200ml,Sensitive,Female,Compact,Aloe Vera,TRUE,USA,59
Super Highlighter,Charlotte Tilbury,Highlighter,Monthly,103.95,3.6,1842,200ml,Oily,Male,Jar,Vitamin C,FALSE,Germany,60
Perfect Contour,Drunk Elephant,Contour,Occasional,11.52,2.9,9608,150ml,Sensitive,Unisex,Spray,Vitamin C,TRUE,Australia,61
Ultra Highlighter,Natasha Denona,Highlighter,Daily,140.82,2.0,5567,150ml,Dry,Female,Stick,Aloe Vera,FALSE,Germany,62
Super Highlighter,Kylie Cosmetics,Highlighter,Daily,18.72,4.4,9639,30ml,Combination,Male,Jar,Glycerin,TRUE,Australia,63
Ultra Lipstick,Huda Beauty,Lipstick,Weekly,36.83,4.0,2109,250ml,Oily,Female,Compact,Retinol,FALSE,USA,64
Magic Lip Liner,Too Faced,Lip Liner,Daily,113.85,3.0,8848,150ml,Combination,Unisex,Stick,Salicylic Acid,FALSE,Australia,65
Magic Concealer,Laura Mercier,Concealer,Monthly,37.65,4.6,6612,50ml,Normal,Unisex,Spray,Shea Butter,FALSE,USA,66
Perfect Face Mask,Laura Mercier,Face Mask,Weekly,69.9,4.0,9286,250ml,Oily,Unisex,Tube,Shea Butter,FALSE,South Korea,67
Super Cleanser,Rare Beauty,Cleanser,Weekly,87.44,3.8,9137,250ml,Normal,Male,Stick,Hyaluronic Acid,TRUE,Japan,68
Divine Moisturizer,Tarte,Moisturizer,Weekly,110.56,3.8,5194,30ml,Oily,Female,Spray,Retinol,FALSE,Japan,69
Ultra BB Cream,Yves Saint Laurent,BB Cream,Weekly,126.22,2.3,3285,50ml,Combination,Female,Tube,Retinol,TRUE,South Korea,70
Ultra Concealer,Natasha Denona,Concealer,Monthly,51.94,1.5,2735,50ml,Normal,Unisex,Stick,Retinol,FALSE,South Korea,71
Perfect Eyeliner,Too Faced,Eyeliner,Monthly,141.1,4.4,5174,250ml,Sensitive,Female,Spray,Aloe Vera,FALSE,Germany,72
Super Blush,Glossier,Blush,Daily,96.84,1.5,7005,100ml,Normal,Female,Jar,Vitamin C,FALSE,France,73
Divine Exfoliator,Clinique,Exfoliator,Weekly,76.5,4.8,8962,150ml,Sensitive,Unisex,Stick,Shea Butter,FALSE,Italy,74
Ultra Lip Liner,Hourglass,Lip Liner,Monthly,99.46,4.9,9634,100ml,Sensitive,Male,Compact,Vitamin C,FALSE,UK,75
Ultra Setting Spray,Make Up For Ever,Setting Spray,Occasional,95.76,4.1,3597,30ml,Oily,Male,Tube,Retinol,FALSE,South Korea,76
Perfect Highlighter,Perricone MD,Highlighter,Daily,133.82,5.0,4398,200ml,Combination,Unisex,Spray,Aloe Vera,FALSE,Italy,77
Perfect Setting Spray,Rare Beauty,Setting Spray,Daily,59.06,3.0,9874,50ml,Normal,Female,Spray,Aloe Vera,FALSE,UK,78
Magic Face Oil,Juvia’s Place,Face Oil,Weekly,76.55,2.7,203,50ml,Dry,Unisex,Tube,Vitamin C,TRUE,South Korea,79
Perfect Makeup Remover,Bobby Brown,Makeup Remover,Weekly,79.4,3.6,275,30ml,Normal,Male,Compact,Hyaluronic Acid,FALSE,Australia,80
Divine Bronzer,IT Cosmetics,Bronzer,Weekly,42.88,4.3,2582,150ml,Dry,Unisex,Spray,Hyaluronic Acid,FALSE,UK,81
Divine Makeup Remover,Patrick Ta,Makeup Remover,Daily,133.69,4.7,7238,250ml,Normal,Male,Stick,Vitamin C,FALSE,France,82
Super Setting Spray,IT Cosmetics,Setting Spray,Occasional,135.23,2.8,1031,30ml,Sensitive,Unisex,Bottle,Retinol,FALSE,USA,83
Magic CC Cream,IT Cosmetics,CC Cream,Weekly,52.0,2.8,7000,200ml,Sensitive,Female,Bottle,Aloe Vera,FALSE,USA,84
Super Primer,Bobby Brown,Primer,Weekly,56.51,3.1,6273,100ml,Dry,Male,Stick,Vitamin C,TRUE,Japan,85
Ultra Bronzer,Perricone MD,Bronzer,Weekly,96.05,3.6,1071,200ml,Oily,Female,Bottle,Aloe Vera,FALSE,UK,86
Perfect Moisturizer,Patrick Ta,Moisturizer,Monthly,23.01,4.0,9584,200ml,Oily,Unisex,Compact,Vitamin C,TRUE,Japan,87
Ultra Concealer,Anastasia Beverly Hills,Concealer,Occasional,78.26,3.8,1400,100ml,Sensitive,Male,Stick,Salicylic Acid,FALSE,France,88
Perfect Eye Shadow,Glossier,Eye Shadow,Weekly,48.28,3.0,4706,30ml,Dry,Male,Spray,Retinol,TRUE,USA,89
Magic Lip Liner,Huda Beauty,Lip Liner,Occasional,131.9,4.6,8693,100ml,Sensitive,Male,Bottle,Aloe Vera,FALSE,Italy,90
Magic Eye Shadow,Rare Beauty,Eye Shadow,Monthly,97.59,4.7,5099,100ml,Normal,Female,Jar,Aloe Vera,FALSE,USA,91
Divine Primer,Hourglass,Primer,Daily,18.3,1.5,7630,250ml,Combination,Unisex,Compact,Retinol,TRUE,Italy,92
Super Eyeliner,Urban Decay,Eyeliner,Occasional,88.83,4.8,4385,100ml,Oily,Unisex,Compact,Hyaluronic Acid,FALSE,Japan,93
Ultra Serum,Sisley,Serum,Monthly,87.78,4.8,4739,100ml,Normal,Male,Stick,Hyaluronic Acid,FALSE,France,94
Perfect Eye Shadow,Bite Beauty,Eye Shadow,Monthly,37.45,4.9,5359,200ml,Dry,Male,Spray,Hyaluronic Acid,TRUE,Australia,95
Perfect Primer,Bourjois,Primer,Weekly,18.33,4.7,1996,150ml,Oily,Male,Stick,Shea Butter,FALSE,USA,96
Divine Face Mask,RMS Beauty,Face Mask,Daily,32.77,3.0,7554,30ml,Dry,Unisex,Tube,Vitamin C,FALSE,South Korea,97
Ultra Primer,Kylie Cosmetics,Primer,Daily,138.32,3.4,4612,50ml,Combination,Female,Bottle,Retinol,FALSE,Italy,98
Magic Bronzer,Becca,Bronzer,Weekly,144.48,3.4,9706,150ml,Combination,Male,Stick,Glycerin,FALSE,Italy,99
Magic Face Oil,Huda Beauty,Face Oil,Daily,126.98,4.7,3175,100ml,Sensitive,Female,Spray,Vitamin C,TRUE,Japan,100
Super Blush,Natasha Denona,Blush,Daily,109.64,2.7,4374,30ml,Combination,Female,Spray,Aloe Vera,TRUE,Australia,101
Perfect Foundation,Charlotte Tilbury,Foundation,Daily,26.87,4.9,5372,50ml,Normal,Male,Bottle,Salicylic Acid,FALSE,Japan,102
Magic Lip Gloss,Patrick Ta,Lip Gloss,Daily,11.47,4.8,599,250ml,Oily,Female,Bottle,Aloe Vera,TRUE,South Korea,103
Ultra Face Oil,Anastasia Beverly Hills,Face Oil,Occasional,93.73,3.7,2839,150ml,Normal,Female,Tube,Shea Butter,TRUE,Japan,104
Ultra Eye Shadow,Patrick Ta,Eye Shadow,Occasional,10.42,2.0,3687,200ml,Sensitive,Unisex,Tube,Vitamin C,FALSE,South Korea,105
Super Powder,Sisley,Powder,Daily,15.47,2.7,9722,150ml,Oily,Male,Compact,Glycerin,FALSE,France,106
Super Blush,Bite Beauty,Blush,Monthly,33.31,3.8,1181,150ml,Dry,Unisex,Jar,Shea Butter,TRUE,Australia,107
Perfect Foundation,Farsali,Foundation,Occasional,105.35,3.6,7126,200ml,Normal,Female,Tube,Hyaluronic Acid,TRUE,Italy,108
Magic Face Oil,Glossier,Face Oil,Monthly,21.95,3.0,3552,250ml,Sensitive,Unisex,Spray,Hyaluronic Acid,TRUE,Australia,109
Magic Contour,Tatcha,Contour,Monthly,63.88,3.9,8957,100ml,Oily,Male,Spray,Retinol,TRUE,France,110
Perfect Lipstick,Perricone MD,Lipstick,Daily,61.22,3.8,6814,30ml,Normal,Male,Bottle,Aloe Vera,FALSE,Australia,111
Perfect Highlighter,Glossier,Highlighter,Weekly,36.13,5.0,2765,200ml,Combination,Female,Jar,Hyaluronic Acid,TRUE,Germany,112
Perfect Lipstick,Morphe,Lipstick,Daily,93.69,4.7,5889,50ml,Sensitive,Unisex,Stick,Hyaluronic Acid,TRUE,France,113
Divine Moisturizer,Laura Mercier,Moisturizer,Monthly,135.5,4.9,8873,150ml,Combination,Female,Bottle,Vitamin C,TRUE,South Korea,114
Divine Bronzer,Ilia Beauty,Bronzer,Weekly,110.53,2.8,6045,30ml,Oily,Female,Jar,Retinol,TRUE,Japan,115
Magic BB Cream,Laura Mercier,BB Cream,Weekly,79.47,4.5,1816,150ml,Oily,Female,Spray,Shea Butter,TRUE,UK,116
Magic Contour,Patrick Ta,Contour,Occasional,23.72,4.7,3713,250ml,Combination,Unisex,Spray,Aloe Vera,FALSE,Germany,117
Perfect Contour,Becca,Contour,Occasional,143.59,4.2,4783,200ml,Oily,Female,Jar,Retinol,FALSE,Germany,118
Divine Cleanser,KVD Beauty,Cleanser,Monthly,41.47,4.3,108,30ml,Sensitive,Female,Tube,Shea Butter,FALSE,South Korea,119
Magic Contour,Hourglass,Contour,Weekly,119.08,4.9,7493,30ml,Combination,Unisex,Compact,Shea Butter,TRUE,Australia,120
Magic Powder,Shiseido,Powder,Occasional,68.09,5.0,1822,150ml,Combination,Male,Tube,Hyaluronic Acid,TRUE,Italy,121
Ultra Eye Shadow,IT Cosmetics,Eye Shadow,Daily,25.85,1.9,487,150ml,Oily,Female,Spray,Salicylic Acid,TRUE,South Korea,122
Divine Face Mask,Huda Beauty,Face Mask,Daily,146.66,4.3,4755,30ml,Dry,Male,Bottle,Retinol,TRUE,Germany,123
Magic Eyeliner,Bobby Brown,Eyeliner,Occasional,133.8,4.4,1018,250ml,Dry,Female,Compact,Glycerin,FALSE,France,124
Magic Lip Gloss,Laura Mercier,Lip Gloss,Occasional,88.22,4.3,6544,150ml,Sensitive,Unisex,Stick,Glycerin,TRUE,South Korea,125
Perfect Primer,Becca,Primer,Monthly,45.69,4.3,9762,200ml,Combination,Male,Compact,Salicylic Acid,FALSE,Italy,126
Perfect Face Oil,Kylie Cosmetics,Face Oil,Weekly,85.26,2.0,8981,100ml,Normal,Male,Stick,Hyaluronic Acid,FALSE,Italy,127
Magic Blush,E.l.f.,Blush,Daily,63.23,4.0,1365,200ml,Sensitive,Unisex,Stick,Vitamin C,TRUE,Italy,128
Ultra Eye Shadow,ColourPop,Eye Shadow,Weekly,27.62,3.8,5635,200ml,Sensitive,Female,Spray,Glycerin,TRUE,Germany,129
Ultra Blush,Tarte,Blush,Monthly,60.91,4.7,9669,250ml,Dry,Male,Stick,Hyaluronic Acid,TRUE,South Korea,130
Divine Exfoliator,Too Faced,Exfoliator,Daily,90.51,4.2,7106,250ml,Dry,Unisex,Compact,Salicylic Acid,TRUE,France,131
Ultra Bronzer,Fenty Beauty,Bronzer,Weekly,132.65,4.2,7137,150ml,Normal,Unisex,Tube,Aloe Vera,TRUE,France,132
Super Mascara,Perricone MD,Mascara,Daily,143.42,4.0,4530,150ml,Normal,Unisex,Bottle,Glycerin,FALSE,Australia,133
Perfect Contour,Bite Beauty,Contour,Monthly,16.64,3.7,2358,200ml,Dry,Male,Spray,Hyaluronic Acid,TRUE,South Korea,134
Divine Exfoliator,Fenty Beauty,Exfoliator,Daily,135.75,4.4,6106,100ml,Combination,Female,Tube,Aloe Vera,TRUE,France,135
Super Exfoliator,Drunk Elephant,Exfoliator,Occasional,16.59,2.3,2859,50ml,Dry,Male,Bottle,Retinol,TRUE,South Korea,136
Perfect CC Cream,Huda Beauty,CC Cream,Monthly,98.7,3.8,9701,200ml,Combination,Male,Tube,Glycerin,FALSE,Japan,137
Super Lip Liner,E.l.f.,Lip Liner,Monthly,88.12,4.1,7566,50ml,Oily,Female,Jar,Shea Butter,FALSE,Germany,138
Ultra Mascara,Bobby Brown,Mascara,Monthly,116.7,2.0,6179,150ml,Oily,Unisex,Compact,Shea Butter,FALSE,Australia,139
Super Serum,Sisley,Serum,Weekly,138.55,5.0,3349,50ml,Sensitive,Male,Compact,Hyaluronic Acid,FALSE,Germany,140
Perfect BB Cream,Morphe,BB Cream,Weekly,96.46,2.0,8249,250ml,Oily,Unisex,Stick,Hyaluronic Acid,TRUE,Japan,141
Divine Primer,Sisley,Primer,Monthly,128.58,3.3,7920,150ml,Combination,Female,Stick,Vitamin C,TRUE,Italy,142
Ultra Contour,IT Cosmetics,Contour,Weekly,114.77,1.0,8927,150ml,Sensitive,Unisex,Tube,Vitamin C,FALSE,Japan,143
Perfect Exfoliator,Clinique,Exfoliator,Monthly,59.27,4.6,8522,30ml,Oily,Male,Spray,Glycerin,TRUE,Italy,144
Ultra Eyeliner,Danessa Myricks,Eyeliner,Weekly,32.96,4.4,3971,250ml,Dry,Unisex,Spray,Aloe Vera,TRUE,Germany,145
Perfect Bronzer,Pat McGrath Labs,Bronzer,Monthly,92.6,1.8,439,250ml,Normal,Unisex,Bottle,Glycerin,FALSE,Italy,146
Perfect Highlighter,Drunk Elephant,Highlighter,Daily,17.6,5.0,4836,100ml,Combination,Male,Bottle,Vitamin C,FALSE,South Korea,147
Super Foundation,ColourPop,Foundation,Weekly,25.97,1.0,9720,30ml,Combination,Female,Bottle,Aloe Vera,TRUE,Japan,148
Ultra Setting Spray,Morphe,Setting Spray,Monthly,143.88,4.5,5531,30ml,Normal,Unisex,Tube,Glycerin,TRUE,South Korea,149
Ultra Bronzer,Becca,Bronzer,Weekly,110.08,4.3,5069,100ml,Combination,Male,Stick,Aloe Vera,FALSE,Italy,150
Ultra Highlighter,KVD Beauty,Highlighter,Monthly,129.33,4.2,1999,100ml,Oily,Unisex,Stick,Retinol,FALSE,Australia,151
Perfect Exfoliator,Danessa Myricks,Exfoliator,Monthly,143.55,4.8,9469,150ml,Sensitive,Male,Spray,Aloe Vera,FALSE,France,152
Ultra Serum,Bobby Brown,Serum,Monthly,58.2,4.7,8664,150ml,Combination,Male,Stick,Salicylic Acid,TRUE,Australia,153
Magic Lipstick,E.l.f.,Lipstick,Daily,43.76,3.1,7353,30ml,Sensitive,Unisex,Spray,Retinol,TRUE,Japan,154
Perfect Foundation,Milk Makeup,Foundation,Occasional,95.79,4.0,561,100ml,Normal,Male,Tube,Glycerin,TRUE,Germany,155
Divine Setting Spray,Hourglass,Setting Spray,Occasional,131.98,4.6,9525,30ml,Sensitive,Female,Spray,Shea Butter,FALSE,South Korea,156
Super Foundation,Too Faced,Foundation,Occasional,30.15,3.5,2966,30ml,Normal,Female,Compact,Hyaluronic Acid,TRUE,France,157
Magic Lip Liner,Bobby Brown,Lip Liner,Weekly,69.01,4.2,7091,200ml,Combination,Unisex,Stick,Shea Butter,TRUE,France,158
Divine Serum,Patrick Ta,Serum,Occasional,134.74,1.1,6700,30ml,Dry,Unisex,Jar,Hyaluronic Acid,FALSE,Australia,159
Divine Foundation,Glossier,Foundation,Weekly,146.35,1.5,9698,30ml,Combination,Male,Compact,Vitamin C,TRUE,UK,160
Perfect Face Mask,Shiseido,Face Mask,Occasional,81.87,4.0,459,30ml,Dry,Male,Bottle,Aloe Vera,FALSE,Australia,161
Super Mascara,Shiseido,Mascara,Daily,56.99,4.7,1987,150ml,Normal,Female,Compact,Hyaluronic Acid,FALSE,Italy,162
Divine Face Mask,Kiehl’s,Face Mask,Daily,17.8,4.6,6044,200ml,Oily,Female,Jar,Aloe Vera,TRUE,France,163
Super Concealer,Rare Beauty,Concealer,Daily,108.21,3.0,1439,30ml,Dry,Unisex,Tube,Retinol,TRUE,Japan,164
Divine Setting Spray,Glossier,Setting Spray,Daily,20.67,4.0,5480,200ml,Combination,Unisex,Tube,Salicylic Acid,FALSE,Australia,165
Ultra Lipstick,Becca,Lipstick,Monthly,73.9,2.0,6344,50ml,Dry,Unisex,Tube,Glycerin,FALSE,USA,166
Perfect CC Cream,Charlotte Tilbury,CC Cream,Occasional,126.08,1.2,3000,150ml,Combination,Female,Jar,Glycerin,FALSE,Germany,167
Super Face Oil,Tatcha,Face Oil,Monthly,47.45,4.5,2024,200ml,Combination,Unisex,Tube,Hyaluronic Acid,FALSE,UK,168
Ultra Contour,E.l.f.,Contour,Monthly,44.93,2.1,6557,100ml,Normal,Male,Bottle,Shea Butter,TRUE,Australia,169
Magic Lip Gloss,Juvia’s Place,Lip Gloss,Daily,41.92,3.7,7498,200ml,Combination,Unisex,Spray,Shea Butter,FALSE,South Korea,170
Perfect Mascara,Bite Beauty,Mascara,Monthly,91.45,3.9,4841,100ml,Dry,Female,Spray,Vitamin C,TRUE,Germany,171
Divine Lip Liner,Tarte,Lip Liner,Weekly,128.37,4.7,5606,50ml,Oily,Female,Spray,Salicylic Acid,TRUE,South Korea,172
Ultra Serum,Bite Beauty,Serum,Weekly,34.06,4.0,1746,250ml,Dry,Unisex,Stick,Glycerin,TRUE,Japan,173
Divine Moisturizer,Kiehl’s,Moisturizer,Daily,85.54,4.6,664,150ml,Normal,Male,Spray,Retinol,FALSE,Australia,174
Magic Lipstick,Ilia Beauty,Lipstick,Weekly,50.34,4.0,8143,50ml,Normal,Female,Compact,Vitamin C,FALSE,Australia,175
Divine Powder,Becca,Powder,Weekly,138.48,3.0,2283,50ml,Oily,Male,Compact,Glycerin,TRUE,USA,176
Super Contour,Tarte,Contour,Daily,39.89,3.9,2437,250ml,Normal,Male,Bottle,Hyaluronic Acid,TRUE,USA,177
Ultra Lip Gloss,Rare Beauty,Lip Gloss,Weekly,145.71,4.0,9076,200ml,Oily,Unisex,Jar,Vitamin C,FALSE,Japan,178
Divine CC Cream,Tatcha,CC Cream,Weekly,55.35,4.8,9836,150ml,Normal,Unisex,Jar,Glycerin,FALSE,Germany,179
Super Primer,Farsali,Primer,Weekly,58.6,3.0,6346,150ml,Combination,Male,Spray,Aloe Vera,FALSE,Japan,180
Magic Highlighter,Becca,Highlighter,Monthly,94.06,5.0,6493,200ml,Sensitive,Male,Spray,Hyaluronic Acid,TRUE,Italy,181
Ultra CC Cream,Charlotte Tilbury,CC Cream,Daily,135.75,2.2,9979,50ml,Dry,Male,Bottle,Aloe Vera,FALSE,UK,182
Perfect Face Mask,Make Up For Ever,Face Mask,Weekly,21.05,4.1,9084,50ml,Normal,Female,Compact,Salicylic Acid,TRUE,Italy,183
Super Exfoliator,Clinique,Exfoliator,Weekly,143.13,3.0,6085,250ml,Sensitive,Male,Tube,Retinol,FALSE,Germany,184
Super BB Cream,Sisley,BB Cream,Daily,120.15,4.2,1096,50ml,Dry,Male,Compact,Vitamin C,TRUE,Germany,185
Perfect Powder,Rare Beauty,Powder,Monthly,76.01,4.0,3532,50ml,Oily,Male,Spray,Hyaluronic Acid,FALSE,Australia,186
Magic Moisturizer,Juvia’s Place,Moisturizer,Occasional,47.09,3.8,6813,150ml,Sensitive,Male,Bottle,Aloe Vera,TRUE,France,187
Super Eye Shadow,Juvia’s Place,Eye Shadow,Weekly,120.46,4.6,5446,250ml,Sensitive,Unisex,Spray,Aloe Vera,TRUE,France,188
Perfect Lipstick,Patrick Ta,Lipstick,Daily,72.04,4.4,504,250ml,Sensitive,Female,Stick,Hyaluronic Acid,TRUE,USA,189
Ultra Lipstick,Laura Mercier,Lipstick,Monthly,136.96,4.8,6707,100ml,Normal,Unisex,Compact,Retinol,TRUE,Italy,190
