Product_Name,Brand,Category,Usage_Frequency,Price_USD,Rating,Number_of_Reviews,Product_Size,Skin_Type,Gender_Target,Packaging_Type,Main_Ingredient,Cruelty_Free,Country_of_Origin,ID
Divine Makeup Remover,Bite Beauty,Cleanser,Weekly,84.38,5.0,2984,200ml,Combination,Male,Stick,Vitamin C,TRUE,South Korea,36
Divine BB Cream,Pat McGrath Labs,Contour,Daily,107.46,5.0,7133,150ml,Oily,Unisex,Jar,Glycerin,TRUE,Germany,37
Ultra Moisturizer,Drunk Elephant,Serum,Occasional,35.33,5.0,3365,100ml,Oily,Unisex,Stick,Shea Butter,FALSE,UK,38
Divine Eyeliner,Huda Beauty,Highlighter,Daily,81.54,5.0,6690,50ml,Combination,Unisex,Compact,Hyaluronic Acid,TRUE,France,39
Divine Primer,Kylie Cosmetics,Eye Shadow,Weekly,58.85,5.0,90,250ml,Dry,Unisex,Stick,Retinol,FALSE,Japan,40
Magic Setting Spray,Too Faced,Powder,Monthly,55.23,5.0,9095,30ml,Sensitive,Male,Spray,Retinol,TRUE,Australia,41
Perfect Mascara,Shiseido,BB Cream,Monthly,129.72,5.0,8759,30ml,Combination,Female,Jar,Shea Butter,FALSE,South Korea,42
Ultra Lip Gloss,Natasha Denona,Makeup Remover,Weekly,101.17,5.0,7925,200ml,Dry,Female,Tube,Hyaluronic Acid,TRUE,Australia,43
Magic Mascara,Yves Saint Laurent,Face Mask,Weekly,60.4,5.0,5018,50ml,Combination,Male,Compact,Hyaluronic Acid,FALSE,Germany,44
Perfect Powder,Shiseido,Setting Spray,Occasional,101.22,5.0,3705,200ml,Dry,Male,Stick,Hyaluronic Acid,FALSE,Australia,45
Magic Cleanser,Danessa Myricks,CC Cream,Daily,59.98,5.0,6735,50ml,Normal,Unisex,Tube,Glycerin,FALSE,UK,46
Magic Highlighter,Becca,Bronzer,Monthly,94.06,5.0,6493,200ml,Sensitive,Male,Spray,Hyaluronic Acid,TRUE,Italy,47
Magic Foundation,Fenty Beauty,Primer,Weekly,87.16,5.0,8444,250ml,Combination,Unisex,Compact,Hyaluronic Acid,TRUE,South Korea,48
Perfect Powder,Bite Beauty,Serum,Occasional,125.24,5.0,9292,30ml,Oily,Male,Jar,Shea Butter,TRUE,UK,49
Ultra Makeup Remover,Tarte,Foundation,Occasional,76.54,5.0,2167,30ml,Dry,Male,Compact,Glycerin,TRUE,USA,50
Magic Lip Gloss,Kylie Cosmetics,Blush,Daily,104.96,5.0,5290,250ml,Normal,Male,Spray,Salicylic Acid,TRUE,Japan,51
Magic Lip Liner,Yves Saint Laurent,Highlighter,Monthly,140.17,5.0,3923,30ml,Normal,Male,Compact,Retinol,TRUE,Japan,52
Divine Eyeliner,Huda Beauty,Cleanser,Monthly,104.76,5.0,6620,200ml,Oily,Female,Bottle,Salicylic Acid,TRUE,UK,53
Magic Face Oil,Anastasia Beverly Hills,Serum,Monthly,110.9,5.0,2710,50ml,Dry,Unisex,Spray,Aloe Vera,FALSE,Italy,54
Magic Cleanser,Hourglass,Highlighter,Weekly,88.0,5.0,5545,250ml,Sensitive,Female,Tube,Glycerin,TRUE,USA,55
Perfect Cleanser,Rare Beauty,Cleanser,Monthly,59.11,5.0,2609,150ml,Sensitive,Male,Jar,Aloe Vera,FALSE,South Korea,56
Ultra Lip Liner,RMS Beauty,Blush,Occasional,56.77,5.0,8071,250ml,Normal,Female,Compact,Retinol,FALSE,USA,57
Super Cleanser,Juvia’s Place,Cleanser,Daily,47.97,5.0,4668,30ml,Sensitive,Unisex,Compact,Vitamin C,TRUE,South Korea,58
Divine Setting Spray,RMS Beauty,Setting Spray,Daily,65.96,5.0,9330,150ml,Sensitive,Male,Tube,Glycerin,FALSE,UK,59
Ultra Foundation,Kiehl’s,Primer,Daily,50.56,5.0,5269,250ml,Oily,Female,Spray,Shea Butter,FALSE,Germany,60
Divine Contour,Milk Makeup,Blush,Occasional,139.11,5.0,3089,30ml,Combination,Female,Bottle,Aloe Vera,FALSE,South Korea,61
Perfect Concealer,Farsali,Contour,Daily,37.44,5.0,6284,250ml,Sensitive,Female,Spray,Glycerin,FALSE,South Korea,62
Divine Face Mask,Hourglass,Face Oil,Daily,46.08,5.0,2020,100ml,Normal,Female,Tube,Vitamin C,FALSE,Italy,63
Divine Lip Gloss,Drunk Elephant,Lip Gloss,Occasional,16.77,5.0,2555,50ml,Normal,Female,Stick,Glycerin,TRUE,USA,64
Super Serum,Sisley,Lip Gloss,Weekly,138.55,5.0,3349,50ml,Sensitive,Male,Compact,Hyaluronic Acid,FALSE,Germany,65
Super Contour,Make Up For Ever,Powder,Daily,52.2,5.0,6852,150ml,Combination,Male,Stick,Vitamin C,FALSE,Germany,66
Divine Powder,Kiehl’s,Bronzer,Monthly,21.46,5.0,3242,30ml,Sensitive,Unisex,Bottle,Vitamin C,FALSE,Italy,67
Super Serum,IT Cosmetics,Setting Spray,Weekly,136.11,5.0,2874,100ml,Combination,Male,Stick,Vitamin C,FALSE,UK,68
Divine Face Mask,Farsali,Blush,Monthly,93.54,5.0,5882,50ml,Oily,Female,Spray,Hyaluronic Acid,FALSE,Japan,69
Perfect Makeup Remover,Ilia Beauty,Highlighter,Daily,103.95,5.0,3798,200ml,Oily,Male,Tube,Hyaluronic Acid,TRUE,USA,70
Divine Mascara,Hourglass,Eyeliner,Daily,73.31,5.0,8833,200ml,Sensitive,Unisex,Jar,Glycerin,TRUE,South Korea,71
Divine Makeup Remover,Drunk Elephant,Face Mask,Monthly,91.94,5.0,2493,250ml,Combination,Female,Bottle,Vitamin C,FALSE,South Korea,72
Perfect Serum,Drunk Elephant,Face Oil,Occasional,103.89,5.0,9324,50ml,Combination,Male,Compact,Glycerin,TRUE,South Korea,73
Super Makeup Remover,RMS Beauty,Bronzer,Occasional,68.34,5.0,2200,100ml,Oily,Male,Tube,Salicylic Acid,TRUE,Australia,74
Divine Powder,Bobby Brown,BB Cream,Monthly,12.36,5.0,5561,250ml,Dry,Female,Stick,Aloe Vera,TRUE,France,75
Magic Contour,Make Up For Ever,Eyeliner,Daily,128.01,5.0,3366,100ml,Normal,Male,Spray,Hyaluronic Acid,TRUE,Italy,76
Divine CC Cream,Laura Mercier,Moisturizer,Monthly,119.93,5.0,7704,50ml,Dry,Male,Spray,Hyaluronic Acid,TRUE,France,77
Super Blush,Sisley,Cleanser,Occasional,17.98,5.0,7767,200ml,Normal,Male,Spray,Retinol,FALSE,Australia,78
Ultra Highlighter,Tarte,Eyeliner,Weekly,14.36,5.0,7957,200ml,Normal,Female,Jar,Shea Butter,TRUE,Australia,79
Ultra Bronzer,Yves Saint Laurent,Face Oil,Monthly,99.64,5.0,8117,30ml,Sensitive,Male,Compact,Hyaluronic Acid,TRUE,Japan,80
Divine Blush,Kylie Cosmetics,Moisturizer,Occasional,106.31,5.0,9858,100ml,Sensitive,Unisex,Stick,Shea Butter,FALSE,UK,81
Perfect Blush,Farsali,Foundation,Daily,85.27,5.0,2181,250ml,Normal,Male,Stick,Shea Butter,FALSE,Australia,82
Magic Setting Spray,Yves Saint Laurent,CC Cream,Weekly,33.22,5.0,3799,200ml,Oily,Unisex,Spray,Glycerin,TRUE,South Korea,83
Divine Eyeliner,Perricone MD,Contour,Monthly,22.68,5.0,9479,250ml,Normal,Unisex,Stick,Aloe Vera,TRUE,Italy,84
Divine Cleanser,Make Up For Ever,Cleanser,Occasional,78.83,5.0,7681,200ml,Combination,Female,Spray,Retinol,TRUE,Germany,85
Perfect Exfoliator,Ilia Beauty,Mascara,Occasional,121.76,5.0,4782,30ml,Sensitive,Female,Tube,Aloe Vera,TRUE,Germany,86
Magic Serum,KVD Beauty,Face Oil,Monthly,106.48,5.0,8626,200ml,Normal,Unisex,Bottle,Retinol,TRUE,UK,87
Divine Foundation,Morphe,CC Cream,Daily,89.19,5.0,2666,250ml,Sensitive,Male,Jar,Shea Butter,TRUE,France,88
Magic Lip Gloss,Shiseido,Eye Shadow,Occasional,62.94,5.0,9181,200ml,Oily,Female,Bottle,Retinol,FALSE,Italy,89
Perfect Highlighter,Glossier,Mascara,Weekly,36.13,5.0,2765,200ml,Combination,Female,Jar,Hyaluronic Acid,TRUE,Germany,90
Super Contour,Laura Mercier,Concealer,Daily,14.31,5.0,6291,150ml,Combination,Female,Stick,Aloe Vera,FALSE,Germany,91
Perfect Powder,Natasha Denona,Face Oil,Monthly,136.15,5.0,2716,150ml,Oily,Male,Stick,Shea Butter,TRUE,USA,92
Divine Face Oil,Kylie Cosmetics,Face Oil,Weekly,90.53,5.0,5591,100ml,Normal,Male,Bottle,Retinol,TRUE,Australia,93
Perfect Exfoliator,Morphe,Face Mask,Daily,141.4,5.0,6601,100ml,Normal,Male,Stick,Glycerin,FALSE,UK,94
Perfect Highlighter,Perricone MD,Eye Shadow,Daily,133.82,5.0,4398,200ml,Combination,Unisex,Spray,Aloe Vera,FALSE,Italy,95
Magic Lip Gloss,Danessa Myricks,Blush,Weekly,54.63,5.0,5727,50ml,Dry,Unisex,Bottle,Hyaluronic Acid,FALSE,UK,96
Super Face Mask,Huda Beauty,Face Oil,Occasional,75.01,5.0,2142,200ml,Combination,Male,Jar,Glycerin,FALSE,USA,97
Divine Bronzer,Rare Beauty,Foundation,Monthly,137.37,5.0,5509,200ml,Dry,Male,Jar,Hyaluronic Acid,TRUE,France,98
Super Lip Liner,Becca,Contour,Occasional,88.0,5.0,7193,250ml,Sensitive,Unisex,Bottle,Aloe Vera,FALSE,Japan,99
Magic Powder,Shiseido,Highlighter,Occasional,68.09,5.0,1822,150ml,Combination,Male,Tube,Hyaluronic Acid,TRUE,Italy,100
Ultra Makeup Remover,Huda Beauty,Concealer,Monthly,82.52,5.0,4245,100ml,Combination,Unisex,Stick,Vitamin C,TRUE,Germany,101
Divine Serum,Fenty Beauty,BB Cream,Monthly,17.79,5.0,8271,50ml,Dry,Male,Stick,Glycerin,TRUE,Australia,102
Perfect Blush,Tatcha,Lip Liner,Occasional,12.11,5.0,537,100ml,Sensitive,Male,Jar,Shea Butter,TRUE,Australia,103
Perfect Powder,Yves Saint Laurent,CC Cream,Occasional,31.08,5.0,4524,150ml,Dry,Unisex,Compact,Glycerin,TRUE,UK,104
Magic Lipstick,Pat McGrath Labs,CC Cream,Weekly,70.76,5.0,9477,200ml,Dry,Female,Compact,Aloe Vera,TRUE,South Korea,105
Super Highlighter,Yves Saint Laurent,Makeup Remover,Occasional,141.56,5.0,8957,250ml,Oily,Unisex,Compact,Aloe Vera,FALSE,South Korea,106
Ultra CC Cream,Bite Beauty,Concealer,Daily,139.0,5.0,8317,100ml,Combination,Female,Compact,Salicylic Acid,FALSE,Japan,107
Perfect Face Oil,Tarte,Eye Shadow,Monthly,63.56,5.0,8193,150ml,Combination,Female,Stick,Hyaluronic Acid,FALSE,South Korea,108
Magic Contour,Danessa Myricks,Setting Spray,Occasional,129.43,5.0,1534,250ml,Sensitive,Unisex,Stick,Hyaluronic Acid,FALSE,USA,109
Ultra Face Mask,Bourjois,CC Cream,Monthly,39.24,5.0,1191,100ml,Sensitive,Female,Tube,Glycerin,TRUE,France,110
Magic Exfoliator,Danessa Myricks,Bronzer,Weekly,39.92,5.0,6657,250ml,Normal,Male,Spray,Retinol,TRUE,UK,111
Super CC Cream,Bobby Brown,Setting Spray,Weekly,94.5,5.0,3566,150ml,Dry,Male,Tube,Shea Butter,FALSE,France,112
Ultra Lipstick,Yves Saint Laurent,Powder,Occasional,133.36,5.0,3086,150ml,Combination,Male,Stick,Retinol,TRUE,Italy,113
Magic Lip Gloss,ColourPop,Cleanser,Daily,145.1,5.0,6064,50ml,Sensitive,Unisex,Bottle,Glycerin,TRUE,USA,114
Perfect Serum,Ilia Beauty,Serum,Monthly,11.08,5.0,7100,30ml,Oily,Male,Tube,Salicylic Acid,TRUE,Japan,115
Super CC Cream,Tarte,Highlighter,Occasional,122.61,5.0,1907,250ml,Normal,Female,Jar,Vitamin C,FALSE,Germany,116
Super Lipstick,NARS,Eyeliner,Daily,57.04,5.0,648,100ml,Normal,Female,Tube,Salicylic Acid,TRUE,France,117
Super Eye Shadow,Huda Beauty,BB Cream,Occasional,142.16,5.0,9702,100ml,Normal,Male,Bottle,Retinol,FALSE,Japan,118
Magic Blush,Charlotte Tilbury,Foundation,Daily,34.77,5.0,7175,100ml,Sensitive,Female,Bottle,Aloe Vera,FALSE,USA,119
Super Moisturizer,Rare Beauty,Primer,Weekly,100.48,5.0,2083,30ml,Normal,Male,Compact,Aloe Vera,FALSE,Australia,120
Ultra Serum,Becca,Face Oil,Occasional,21.3,5.0,8785,50ml,Normal,Female,Stick,Hyaluronic Acid,FALSE,USA,121
Divine Makeup Remover,Too Faced,BB Cream,Monthly,138.4,5.0,5229,50ml,Dry,Female,Spray,Salicylic Acid,FALSE,USA,122
Magic Face Oil,Tarte,Face Mask,Monthly,119.65,5.0,4858,150ml,Combination,Male,Tube,Vitamin C,TRUE,Germany,123
Super Moisturizer,ColourPop,Cleanser,Occasional,31.68,5.0,4178,50ml,Oily,Unisex,Bottle,Salicylic Acid,FALSE,Germany,124
Perfect Serum,Becca,BB Cream,Weekly,33.46,5.0,8544,250ml,Dry,Male,Spray,Aloe Vera,TRUE,UK,125
Super Face Mask,Glossier,Moisturizer,Occasional,51.96,5.0,2465,150ml,Combination,Female,Tube,Salicylic Acid,FALSE,South Korea,126
Magic Blush,Bourjois,Contour,Occasional,141.69,5.0,2685,250ml,Oily,Female,Spray,Salicylic Acid,TRUE,Japan,127
Magic Eye Shadow,Bobby Brown,Cleanser,Daily,42.91,5.0,8693,250ml,Oily,Male,Stick,Retinol,TRUE,Germany,128
Magic Foundation,Perricone MD,BB Cream,Weekly,11.64,5.0,1125,30ml,Combination,Male,Stick,Vitamin C,TRUE,South Korea,129
Ultra Concealer,Pat McGrath Labs,Face Mask,Monthly,145.04,5.0,6105,30ml,Dry,Unisex,Jar,Hyaluronic Acid,FALSE,Australia,130
Ultra BB Cream,Hourglass,Face Mask,Weekly,122.95,5.0,560,200ml,Normal,Male,Spray,Glycerin,FALSE,Australia,131
Divine Cleanser,Too Faced,Contour,Monthly,88.81,5.0,116,100ml,Normal,Unisex,Spray,Glycerin,TRUE,France,132
Ultra BB Cream,Urban Decay,Face Oil,Weekly,62.57,5.0,5882,200ml,Combination,Male,Jar,Hyaluronic Acid,TRUE,Australia,133
Perfect Lip Liner,Huda Beauty,Mascara,Weekly,77.3,5.0,6813,200ml,Dry,Male,Bottle,Retinol,FALSE,Italy,134
Magic Face Mask,Becca,Serum,Occasional,19.34,5.0,7824,200ml,Combination,Female,Jar,Shea Butter,TRUE,South Korea,135
Divine Contour,Urban Decay,Foundation,Occasional,100.08,5.0,5773,200ml,Dry,Unisex,Stick,Glycerin,TRUE,Germany,136
Super CC Cream,Milk Makeup,Foundation,Monthly,123.16,5.0,3007,250ml,Sensitive,Unisex,Tube,Shea Butter,TRUE,Australia,137
Super Lip Gloss,Kylie Cosmetics,Highlighter,Occasional,147.89,5.0,941,200ml,Dry,Unisex,Jar,Retinol,TRUE,UK,138
Magic Lipstick,Anastasia Beverly Hills,Eye Shadow,Occasional,93.68,5.0,396,150ml,Sensitive,Unisex,Compact,Shea Butter,FALSE,USA,139
Perfect Eyeliner,Fenty Beauty,Highlighter,Occasional,33.48,5.0,5884,50ml,Normal,Unisex,Stick,Aloe Vera,FALSE,Australia,140
Super Exfoliator,KVD Beauty,Blush,Occasional,62.58,5.0,1281,30ml,Oily,Male,Stick,Hyaluronic Acid,FALSE,Germany,141
Divine Eye Shadow,KVD Beauty,Lip Liner,Monthly,112.31,5.0,570,200ml,Dry,Unisex,Spray,Hyaluronic Acid,TRUE,UK,142
Perfect Highlighter,Drunk Elephant,Face Mask,Daily,17.6,5.0,4836,100ml,Combination,Male,Bottle,Vitamin C,FALSE,South Korea,143
Ultra Bronzer,Rare Beauty,Highlighter,Occasional,39.5,5.0,428,50ml,Combination,Unisex,Spray,Shea Butter,FALSE,Germany,144
Perfect BB Cream,Perricone MD,Powder,Monthly,43.41,5.0,5679,200ml,Normal,Unisex,Stick,Retinol,FALSE,Japan,145
Perfect Eyeliner,Anastasia Beverly Hills,Setting Spray,Weekly,107.58,5.0,7447,30ml,Combination,Unisex,Compact,Aloe Vera,TRUE,USA,146
Perfect BB Cream,Natasha Denona,Exfoliator,Monthly,66.21,5.0,997,100ml,Normal,Female,Bottle,Glycerin,FALSE,France,147
Super Makeup Remover,Shiseido,Blush,Daily,103.08,5.0,1988,30ml,Combination,Female,Stick,Glycerin,FALSE,UK,148
Super Makeup Remover,Laura Mercier,Moisturizer,Monthly,27.19,5.0,5803,250ml,Combination,Female,Stick,Glycerin,FALSE,France,149
Magic Lipstick,Becca,Moisturizer,Occasional,95.4,5.0,9553,150ml,Sensitive,Male,Compact,Aloe Vera,TRUE,Germany,150
Magic Lip Gloss,KVD Beauty,Bronzer,Weekly,11.77,5.0,7306,150ml,Oily,Female,Jar,Retinol,TRUE,Japan,151
Magic Exfoliator,NARS,Setting Spray,Weekly,114.46,5.0,7336,50ml,Combination,Female,Jar,Aloe Vera,FALSE,Italy,152
Magic Setting Spray,Drunk Elephant,Concealer,Monthly,23.35,5.0,6907,50ml,Oily,Unisex,Tube,Shea Butter,TRUE,South Korea,153
Ultra Lip Liner,Juvia’s Place,Highlighter,Weekly,59.61,5.0,7504,150ml,Dry,Female,Spray,Aloe Vera,TRUE,USA,154
Magic Blush,Make Up For Ever,Serum,Weekly,120.78,5.0,9695,150ml,Normal,Female,Bottle,Hyaluronic Acid,FALSE,UK,155
Divine Cleanser,Becca,Foundation,Monthly,88.43,5.0,295,30ml,Oily,Male,Spray,Hyaluronic Acid,TRUE,Germany,156
Magic Contour,Make Up For Ever,Bronzer,Daily,126.1,5.0,463,150ml,Sensitive,Male,Spray,Glycerin,FALSE,Germany,157
Divine Lipstick,Farsali,Exfoliator,Daily,58.08,5.0,5779,50ml,Combination,Male,Jar,Glycerin,TRUE,South Korea,158
Perfect Foundation,Urban Decay,Foundation,Monthly,131.31,5.0,8129,100ml,Dry,Male,Jar,Vitamin C,FALSE,South Korea,159
Perfect Face Oil,KVD Beauty,Highlighter,Weekly,68.62,5.0,5116,30ml,Normal,Female,Stick,Retinol,TRUE,France,160
Perfect Makeup Remover,Clinique,Moisturizer,Occasional,113.77,5.0,1095,200ml,Oily,Male,Jar,Shea Butter,FALSE,USA,161
Divine Exfoliator,Morphe,Makeup Remover,Daily,49.95,5.0,996,30ml,Oily,Unisex,Bottle,Glycerin,FALSE,Japan,162
Magic Exfoliator,Bobby Brown,Setting Spray,Occasional,125.88,5.0,1371,50ml,Sensitive,Male,Stick,Shea Butter,FALSE,USA,163
Super Contour,ColourPop,Primer,Weekly,93.22,5.0,1794,150ml,Oily,Male,Bottle,Glycerin,TRUE,Germany,164
Magic Contour,Laura Mercier,Blush,Occasional,20.62,5.0,9651,150ml,Sensitive,Female,Compact,Retinol,FALSE,Germany,165
Ultra CC Cream,Urban Decay,Cleanser,Daily,137.56,5.0,9599,250ml,Combination,Male,Compact,Salicylic Acid,TRUE,USA,166
Magic Primer,Ilia Beauty,Blush,Occasional,40.21,5.0,878,30ml,Combination,Male,Bottle,Glycerin,FALSE,Italy,167
Super Foundation,Urban Decay,Primer,Occasional,60.86,5.0,4859,250ml,Dry,Male,Jar,Retinol,FALSE,Germany,168
Divine Makeup Remover,Anastasia Beverly Hills,Face Mask,Occasional,29.43,5.0,5132,100ml,Oily,Female,Stick,Retinol,FALSE,South Korea,169
Ultra Setting Spray,Huda Beauty,Setting Spray,Daily,105.94,5.0,1727,150ml,Oily,Male,Jar,Retinol,TRUE,USA,170
Ultra Mascara,Hourglass,Foundation,Occasional,63.31,5.0,2685,150ml,Normal,Unisex,Compact,Aloe Vera,TRUE,Italy,171
Perfect Primer,Milk Makeup,Blush,Occasional,88.47,5.0,6199,150ml,Dry,Unisex,Bottle,Aloe Vera,TRUE,UK,172
Super Blush,IT Cosmetics,Face Oil,Weekly,87.82,5.0,7822,100ml,Normal,Male,Tube,Hyaluronic Acid,FALSE,Italy,173
Ultra Foundation,Glossier,Highlighter,Weekly,17.06,5.0,6279,250ml,Sensitive,Male,Tube,Glycerin,FALSE,France,174
Perfect Lip Gloss,Laura Mercier,Cleanser,Monthly,59.46,5.0,705,50ml,Sensitive,Unisex,Tube,Hyaluronic Acid,TRUE,Australia,175
Ultra Eyeliner,Bite Beauty,Contour,Monthly,67.04,5.0,5100,50ml,Combination,Female,Bottle,Retinol,FALSE,Australia,176
Magic Lipstick,Farsali,Setting Spray,Monthly,119.77,5.0,5335,30ml,Combination,Female,Stick,Shea Butter,FALSE,Australia,177
Magic Highlighter,Morphe,Contour,Monthly,147.1,5.0,6561,100ml,Sensitive,Female,Bottle,Retinol,FALSE,UK,178
Perfect Setting Spray,Tarte,Serum,Weekly,110.2,5.0,5651,200ml,Oily,Unisex,Jar,Hyaluronic Acid,TRUE,Germany,179
Perfect Lip Liner,Clinique,Highlighter,Monthly,70.38,5.0,3176,250ml,Normal,Male,Compact,Salicylic Acid,TRUE,South Korea,180
Divine Highlighter,Sisley,Serum,Weekly,33.6,5.0,5707,50ml,Combination,Unisex,Jar,Glycerin,FALSE,France,181
Magic Concealer,Natasha Denona,Exfoliator,Daily,118.61,5.0,5432,30ml,Combination,Male,Spray,Aloe Vera,FALSE,Japan,182
Ultra Eye Shadow,Sisley,Moisturizer,Occasional,77.73,5.0,9991,250ml,Combination,Female,Stick,Aloe Vera,FALSE,France,183
Ultra Makeup Remover,RMS Beauty,Powder,Occasional,20.29,5.0,9026,30ml,Combination,Female,Jar,Salicylic Acid,FALSE,Australia,184
Divine BB Cream,Pat McGrath Labs,Makeup Remover,Weekly,129.2,5.0,2940,150ml,Combination,Male,Jar,Salicylic Acid,FALSE,UK,185
Divine Setting Spray,Pat McGrath Labs,Highlighter,Daily,105.54,4.9,1098,150ml,Dry,Female,Spray,Glycerin,FALSE,Japan,186
Magic CC Cream,Urban Decay,Contour,Weekly,111.62,4.9,2705,50ml,Normal,Male,Compact,Retinol,FALSE,South Korea,187
Magic Contour,Kylie Cosmetics,Powder,Occasional,107.38,4.9,5290,50ml,Normal,Male,Spray,Hyaluronic Acid,FALSE,Australia,188
Super Lipstick,Shiseido,Concealer,Daily,42.77,4.9,6165,250ml,Combination,Male,Stick,Shea Butter,TRUE,Japan,189
Magic Highlighter,IT Cosmetics,Lip Liner,Occasional,141.34,4.9,9617,200ml,Oily,Female,Jar,Aloe Vera,TRUE,Japan,190
